Sample.Label,Region.Label,Effort
1,2010,40
2,2010,40
3,2010,40
4,2010,40
5,2010,40
6,2010,40
7,2010,40
8,2010,40
9,2010,40
10,2010,40
11,2010,40
12,2010,40
13,2010,40
14,2010,40
15,2010,40
16,2010,40
17,2010,40
18,2010,40
19,2010,40
20,2010,40
21,2010,40
22,2010,40
23,2010,40
24,2010,40
25,2010,40
26,2010,40
27,2010,40
28,2010,40
29,2010,40
30,2010,40
31,2010,40
32,2010,40
33,2010,40
34,2010,40
35,2010,40
36,2010,40
37,2010,40
38,2010,40
39,2010,40
40,2010,40
1,2011_H,32
2,2011_H,32
3,2011_H,92
4,2011_L,16
5,2011_H,64
6,2011_H,32
7,2011_H,32
8,2011_H,64
9,2011_H,64
10,2011_H,64
11,2011_H,64
12,2011_L,8
13,2011_L,16
14,2011_L,16
15,2011_H,64
16,2011_H,64
17,2011_H,64
18,2011_L,16
19,2011_L,16
20,2011_L,16
21,2011_L,16
22,2011_L,16
23,2011_L,16
24,2011_L,16
25,2011_H,64
26,2011_H,64
27,2011_L,16
28,2011_L,16
29,2011_L,16
30,2011_H,56
31,2011_H,56
32,2011_H,64
33,2011_H,64
34,2011_H,64
35,2011_L,16
36,2011_L,16
37,2011_L,16
38,2011_L,8
39,2011_L,8
40,2011_L,16
1,2013,32
2,2013,32
3,2013,32
4,2013,32
5,2013,32
6,2013,32
7,2013,32
8,2013,32
9,2013,32
10,2013,32
11,2013,32
12,2013,16
13,2013,32
14,2013,32
15,2013,32
16,2013,32
17,2013,32
18,2013,32
19,2013,32
20,2013,32
21,2013,32
22,2013,32
23,2013,32
24,2013,32
25,2013,32
26,2013,32
27,2013,32
28,2013,32
29,2013,32
30,2013,32
31,2013,32
32,2013,32
33,2013,32
34,2013,32
35,2013,32
36,2013,32
37,2013,32
38,2013,32
39,2013,32
40,2013,32
1,2014_L,8
2,2014_H,32
3,2014_H,64
4,2014_L,24
5,2014_H,48
6,2014_H,52
7,2014_H,32
8,2014_H,48
9,2014_H,48
10,2014_H,48
11,2014_H,56
12,2014_L,16
13,2014_L,16
14,2014_L,24
15,2014_H,48
16,2014_H,48
17,2014_H,48
18,2014_H,40
19,2014_L,16
20,2014_L,16
21,2014_L,16
22,2014_L,16
23,2014_L,16
24,2014_L,16
25,2014_H,40
26,2014_H,56
27,2014_L,32
28,2014_L,16
29,2014_L,16
30,2014_H,40
31,2014_H,40
32,2014_H,48
33,2014_H,48
34,2014_H,48
35,2014_L,16
36,2014_L,16
37,2014_L,16
38,2014_L,16
39,2014_L,16
40,2014_L,16
1,2016_H,44
2,2016_H,44
3,2016_H,40
4,2016_H,40
5,2016_H,40
6,2016_L,24
7,2016_H,44
8,2016_H,40
9,2016_H,40
10,2016_H,40
11,2016_H,40
12,2016_H,44
13,2016_L,24
14,2016_L,24
15,2016_H,40
16,2016_H,40
17,2016_H,40
18,2016_H,40
19,2016_L,12
20,2016_L,24
21,2016_L,24
22,2016_L,24
23,2016_L,24
24,2016_L,24
25,2016_L,24
26,2016_L,24
27,2016_H,40
28,2016_H,40
29,2016_H,40
30,2016_L,24
31,2016_L,24
32,2016_L,24
33,2016_L,24
34,2016_L,24
35,2016_L,24
36,2016_H,40
37,2016_L,24
38,2016_L,24
39,2016_L,24
40,2016_L,24
1,2018,32
2,2018,32
3,2018,32
4,2018,32
5,2018,32
6,2018,32
7,2018,32
8,2018,32
9,2018,32
10,2018,32
11,2018,32
12,2018,32
13,2018,32
14,2018,32
15,2018,32
16,2018,32
17,2018,32
18,2018,32
19,2018,32
20,2018,32
21,2018,32
22,2018,32
23,2018,32
24,2018,32
25,2018,32
26,2018,32
27,2018,32
28,2018,32
29,2018,32
30,2018,32
31,2018,32
32,2018,32
33,2018,32
34,2018,32
35,2018,32
36,2018,32
37,2018,32
38,2018,32
39,2018,32
40,2018,32
1,2020,32
2,2020,32
3,2020,32
4,2020,32
5,2020,32
6,2020,32
7,2020,32
8,2020,32
9,2020,32
10,2020,32
11,2020,32
12,2020,32
13,2020,32
14,2020,32
15,2020,32
16,2020,32
17,2020,32
18,2020,32
19,2020,32
20,2020,32
21,2020,32
22,2020,32
23,2020,32
24,2020,32
25,2020,32
26,2020,32
27,2020,32
28,2020,32
29,2020,32
30,2020,32
31,2020,32
32,2020,32
33,2020,32
34,2020,32
35,2020,32
36,2020,32
37,2020,32
38,2020,32
39,2020,32
40,2020,32
1,2022,32
2,2022,32
3,2022,32
4,2022,32
5,2022,32
6,2022,32
7,2022,32
8,2022,32
9,2022,32
10,2022,32
11,2022,32
12,2022,32
13,2022,32
14,2022,32
15,2022,32
16,2022,32
17,2022,32
18,2022,32
19,2022,32
21,2022,32
22,2022,32
23,2022,32
24,2022,32
25,2022,32
26,2022,32
27,2022,32
28,2022,32
29,2022,32
30,2022,32
31,2022,32
32,2022,32
33,2022,32
34,2022,32
35,2022,32
36,2022,32
37,2022,32
38,2022,32
39,2022,32
40,2022,32
